ユーザー名,会社名,部署名
"Kosuke Shibuya","株式会社 佐藤",fuga
"山岸 和也","株式会社 佐藤",cupiditate
"吉田 知実","株式会社 佐藤",fuga
"山本 桃子","株式会社 佐藤","cupiditate,fuga"
"喜嶋 桃子","株式会社 佐藤",fuga
"加納 太郎","株式会社 佐藤",
"小泉 舞","株式会社 佐藤",
"中村 裕樹","株式会社 佐藤",cupiditate
"江古田 洋介","株式会社 佐藤",
"江古田 和也","株式会社 佐藤",
"中村 英樹","株式会社 佐藤",
"三宅 治","株式会社 佐藤",
"山本 陽子","株式会社 佐藤",
"佐々木 裕美子","株式会社 佐藤",
"加納 直樹","株式会社 佐藤",
"中村 美加子","株式会社 佐藤",
"大垣 あすか","株式会社 佐藤",
"西之園 晃","株式会社 佐藤",
"山本 太一","株式会社 佐藤",
"斉藤 太一","株式会社 佐藤",
"石田 拓真","株式会社 佐藤",
"伊藤 桃子","株式会社 佐藤",
"山本 春香","株式会社 佐藤",
"中村 治","株式会社 佐藤",
